itemName,weaponType,attackPower,attackSpeed,durability,range,criticalHitChance,baseValue,rarity,requiredLevel,equipSlot,description
"Tickling Sword",Sword,10,2,100,1.5,0.05,50,Common,1,MainHand,"A sword that causes uncontrollable laughter."
"Soggy Bow",Bow,8,1.2,60,10,0.02,30,Uncommon,2,MainHand,"Made of wet twigs. Not very effective."
"Choppy's Axe",Axe,20,0.8,80,1,0.15,70,Rare,5,MainHand,"Choppy's favorite. Watch your fingers!"
"Mystical Staff",Staff,15,1.5,40,5,0.1,90,Epic,8,TwoHand,"Embedded with magical gems."
"Pointy Dagger",Dagger,12,2.2,50,0.5,0.2,40,Common,3,OffHand,"It's pointy, very pointy."
"The Blunt Sword",Blunt,5,1,120,1.2,0.01,25,Uncommon,1,MainHand,"Not sure why it's called a sword..."
"Mace of Smashing",Mace,18,1.1,60,1,0.12,60,Rare,4,MainHand,"Great for smashing things!"
"Grandma's Gun",Gun,25,0.5,30,20,0.05,80,Epic,10,MainHand,"A family heirloom, still deadly."
"Crossbow of Confusion",Crossbow,22,0.7,70,15,0.18,70,Rare,6,MainHand,"Fires in unpredictable directions."
"Slingshot Supreme",Sling,6,3,50,8,0.03,20,Uncommon,1,OffHand,"Child's play, or is it?"
"Speary McSpearface",Spear,16,1.3,60,2,0.1,55,Common,3,MainHand,"Named by the people."
"Catty Claws",Claws,14,2.5,40,0.7,0.2,60,Rare,5,OffHand,"For the feline in you."
"Improvised Umbrella",Improvised,4,1.5,20,1,0,15,Common,1,MainHand,"It was raining..."
"Bashy the Bat",Blunt,8,1.2,100,1.2,0.05,30,Uncommon,2,MainHand,"Great for baseball too!"
"Mace Windy",Mace,20,1,90,1,0.15,70,Rare,4,MainHand,"May the force be with you."
"Water Gun Deluxe",Gun,1,5,10,5,0,5,Common,1,MainHand,"Not actually deadly."
"Crossbow of Love",Crossbow,0,1,100,10,0,50,Legendary,10,MainHand,"Makes friends, not foes."
"Sling of David",Sling,10,2.5,50,8,0.1,30,Rare,3,MainHand,"A biblical relic."
"Spear of Destiny",Spear,30,1,100,3,0.2,100,Epic,8,TwoHand,"Choose your fate."
"Santa's Claws",Claws,8,2,30,0.7,0.05,25,Uncommon,2,OffHand,"Ho ho ho!"
"Improvised Ladle",Improvised,2,1.8,10,0.5,0,10,Common,1,MainHand,"For soup emergencies."
"Bow of Chuckles",Bow,5,1.5,40,10,0.05,20,Uncommon,2,MainHand,"Giggle with every twang."
"Fishy Sword",Sword,12,1.2,50,1.5,0.05,40,Common,3,MainHand,"Made from a real fish."
"Ban Hammer",Blunt,999,0.1,999,1,0.99,999,Legendary,99,TwoHand,"For game moderators only."
"Axe of Exes",Axe,15,1,30,1,0.1,55,Uncommon,4,MainHand,"Breaks easily."
"Staff of Snakes",Staff,20,1.5,60,5,0.15,80,Rare,5,TwoHand,"Snakes not included."
"Dagger of Tickling",Dagger,5,2.5,20,0.5,0.05,25,Common,1,OffHand,"Tickle, tickle, tickle!"
"Mace of Faces",Mace,18,1.2,40,1,0.1,65,Rare,6,MainHand,"Watch out, it bites."
"Gun of Bubbles",Gun,0,3,10,5,0,10,Common,1,MainHand,"Bang! Pop!"
"Crossbow of Hugs",Crossbow,0,1,100,5,0,30,Uncommon,2,MainHand,"Spread love, not arrows."
